T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00289,s__eubacterium_eligens,0.5,0.2,0.17,0.1,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00089,s__bacteroides_stercoris,0.5,0.28,0.5,0.36,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00089,s__bacteroides_stercoris,0.5,0.28,0.5,0.13,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__nadh,m__hmdb01232,s__dorea_longicatena,0.16,0.2,0.92,0.1,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__nadh,m__hmdb00039,s__clostridium_leptum,0.16,0.61,0.24,0.33,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__nadh,m__hmdb00039,s__clostridium_leptum,0.16,0.61,0.24,0.62,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__nadh,m__hmdb00014,s__ruminococcus_obeum,0.16,0.7,0.15,0.97,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,m__hmdb00067,s__streptococcus_parasanguinis,1,0.6,0.2,1,FALSE,TRUE,FALSE,FALSE
s__pseudomonas_unclassified,,g__4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,m__hmdb00067,s__pseudomonas_unclassified,1,0.6,0.88,1,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__shikimate kinase,m__hmdb10169,s__mitsuokella_unclassified,0.95,0.19,0.36,0.16,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__shikimate kinase,m__hmdb00239,s__veillonella_atypica,0.95,0.32,0.48,0.14,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__shikimate kinase,m__hmdb00239,s__veillonella_atypica,0.95,0.32,0.48,0.77,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb02123,s__eubacterium_hallii,0.44,0.48,0.1,0.31,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb02123,s__anaerostipes_hadrus,0.44,0.48,0.26,0.23,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb02123,s__anaerostipes_hadrus,0.44,0.48,0.26,0.24,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb01232,s__parabacteroides_merdae,0.44,0.18,0.51,0.55,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb00197,s__c2likevirus_unclassified,0.44,0.29,0.62,0.27,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb00128,s__propionibacterium_acnes,0.44,0.12,0.17,1,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__peptidylprolyl isomerase,m__hmdb00128,s__anaerotruncus_unclassified,0.44,0.12,0.11,0.89,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00094,s__streptococcus_salivarius,0.51,0.31,0.88,0.54,FALSE,TRUE,FALSE,FALSE
s__propionibacterium_acnes,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00094,s__streptococcus_salivarius,0.51,0.31,0.88,0.45,FALSE,TRUE,FALSE,FALSE
s__prevotella_copri,,g__nadh,m__hmdb01232,s__prevotella_copri,0.19,0.2,0.12,1,FALSE,TRUE,FALSE,FALSE
s__prevotella_copri,,g__methionyl aminopeptidase,m__hmdb00067,s__streptococcus_parasanguinis,0.22,0.18,0.2,1,FALSE,TRUE,FALSE,FALSE
s__peptostreptococcaceae_noname_unclassified,,g__l-lactate dehydrogenase,m__hmdb00715,s__escherichia_unclassified,0.4,0.4,0.31,1,FALSE,TRUE,FALSE,FALSE
s__peptostreptococcaceae_noname_unclassified,,g__l-lactate dehydrogenase,m__hmdb00715,s__escherichia_unclassified,0.4,0.4,0.31,0.12,FALSE,TRUE,FALSE,FALSE
s__peptostreptococcaceae_noname_unclassified,,g__l-lactate dehydrogenase,m__hmdb00699,s__bifidobacterium_adolescentis,0.4,0.18,0.13,0.81,FALSE,TRUE,FALSE,FALSE
s__peptostreptococcaceae_noname_unclassified,,g__l-lactate dehydrogenase,m__hmdb00036,s__escherichia_coli,0.4,0.39,0.21,0.76,FALSE,TRUE,FALSE,FALSE
s__parasutterella_excrementihominis,,g__phosphopyruvate hydratase,m__hmdb00873,s__bacteroides_massiliensis,0.18,0.86,0.54,0.71,FALSE,TRUE,FALSE,FALSE
s__parasutterella_excrementihominis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00764,s__parasutterella_excrementihominis,0.26,0.57,0.55,1,FALSE,TRUE,FALSE,FALSE
s__parasutterella_excrementihominis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00764,s__bacteroides_ovatus,0.26,0.57,0.12,0.15,FALSE,TRUE,FALSE,FALSE
s__parasutterella_excrementihominis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00511,s__ruminococcaceae_bacterium_d16,0.26,0.23,0.11,0.15,FALSE,TRUE,FALSE,FALSE
s__parasutterella_excrementihominis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00511,s__ruminococcaceae_bacterium_d16,0.26,0.23,0.11,0.56,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__serine o-acetyltransferase,m__hmdb00806,s__parabacteroides_unclassified,0.17,0.85,0.73,1,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__serine o-acetyltransferase,m__hmdb00806,s__dialister_invisus,0.17,0.85,0.12,0.66,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__serine o-acetyltransferase,m__hmdb00036,s__clostridium_leptum,0.17,0.11,0.52,0.12,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__methylaspartate mutase,m__hmdb00482,s__ruminococcaceae_bacterium_d16,0.99,0.21,0.83,0.43,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__endopeptidase clp,m__hmdb00764,s__bacteroides_vulgatus,0.5,0.35,0.42,0.73,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__endopeptidase clp,m__hmdb00019,s__escherichia_unclassified,0.5,0.14,0.62,0.38,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_unclassified,,g__dihydroorotate dehydrogenase quinone,m__hmdb00715,s__klebsiella_pneumoniae,0.58,0.93,0.74,0.96,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb01232,s__parabacteroides_merdae,0.98,0.16,0.51,1,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00197,s__bacteroides_uniformis,0.98,0.64,0.19,1,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00197,s__bacteroides_uniformis,0.98,0.64,0.19,1,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00138,s__veillonella_atypica,0.98,0.78,0.11,0.97,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00138,s__veillonella_atypica,0.98,0.78,0.11,0.88,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00063,s__parasutterella_excrementihominis,0.98,0.99,0.91,0.13,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__superoxide dismutase,m__hmdb00063,s__eubacterium_hallii,0.98,0.99,0.15,0.39,FALSE,TRUE,FALSE,FALSE
s__parabacteroides_merdae,,g__bacterial non-heme ferritin,m__hmdb00699,s__escherichia_coli,0.41,1,0.12,0.15,FALSE,TRUE,FALSE,FALSE
s__oscillibacter_unclassified,,g__phosphopyruvate hydratase,m__hmdb01991,s__anaerotruncus_unclassified,0.28,0.1,0.84,0.56,FALSE,TRUE,FALSE,FALSE
s__oscillibacter_unclassified,,g__methionyl aminopeptidase,m__hmdb00626,s__subdoligranulum_unclassified,0.17,0.28,0.19,0.16,FALSE,TRUE,FALSE,FALSE
s__oscillibacter_unclassified,,g__methionyl aminopeptidase,m__hmdb00239,s__oscillibacter_unclassified,0.17,0.2,0.7,1,FALSE,TRUE,FALSE,FALSE
s__oscillibacter_unclassified,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_uniformis,0.17,0.2,0.28,0.97,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb01991,s__bacteroides_caccae,0.68,0.87,0.25,0.69,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb01991,s__anaerotruncus_unclassified,0.68,0.87,0.84,0.11,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb00197,s__odoribacter_splanchnicus,0.68,0.64,0.39,1,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb00139,s__ruminococcus_lactaris,0.68,0.13,0.94,0.25,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb00139,s__ruminococcus_lactaris,0.68,0.13,0.94,0.88,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb00139,s__clostridium_bolteae,0.68,0.13,0.92,1,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__superoxide dismutase,m__hmdb00139,s__alistipes_putredinis,0.68,0.13,0.89,0.99,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__rna helicase,m__hmdb01895,s__clostridium_asparagiforme,0.67,0.87,0.41,0.28,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__rna helicase,m__hmdb00118,s__lachnospiraceae_bacterium_2_1_58faa,0.67,0.71,0.89,0.58,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb01991,s__bacteroides_xylanisolvens,0.11,0.1,0.4,0.14,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00873,s__streptococcus_salivarius,0.11,0.86,0.6,0.23,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00873,s__ruminococcus_callidus,0.11,0.86,1,0.21,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00873,s__propionibacterium_acnes,0.11,0.86,0.97,0.13,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00873,s__mitsuokella_unclassified,0.11,0.86,1,1,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00725,s__veillonella_dispar,0.11,0.14,0.24,0.67,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphopyruvate hydratase,m__hmdb00630,s__ruminococcus_bromii,0.11,0.18,0.73,0.14,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__bacteroides_ovatus,0.22,0.19,0.31,0.19,FALSE,TRUE,FALSE,FALSE
s__mitsuokella_unclassified,,g__glycerol kinase,m__hmdb00098,s__roseburia_unclassified,0.3,0.76,0.21,0.16,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00764,s__oscillibacter_unclassified,1,0.14,0.22,0.37,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00619,s__lachnospiraceae_bacterium_8_1_57faa,1,0.54,0.19,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00448,s__lachnospiraceae_bacterium_7_1_58faa,1,0.43,0.38,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00448,s__lachnospiraceae_bacterium_7_1_58faa,1,0.43,0.38,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00056,s__ruminococcus_bromii,1,1,0.99,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00039,s__streptococcus_salivarius,1,0.21,0.47,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_8_1_57faa,,g__pyridoxal 5-phosphate synthase,m__hmdb00039,s__clostridium_leptum,1,0.21,0.24,0.71,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__transaldolase,m__hmdb00128,s__erysipelotrichaceae_bacterium_6_1_45,0.12,1,0.9,0.21,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__preq1 synthase,m__hmdb02123,s__bacteroides_dorei,0.36,0.46,1,0.47,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__preq1 synthase,m__hmdb02123,s__bacteroides_dorei,0.36,0.46,1,0.11,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__roseburia_hominis,0.44,0.19,0.1,0.99,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__roseburia_hominis,0.44,0.19,0.1,0.99,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__eubacterium_eligens,0.44,0.19,0.24,0.59,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00452,s__lachnospiraceae_bacterium_1_1_57faa,0.44,0.39,0.7,0.67,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00097,s__lachnospiraceae_bacterium_5_1_63faa,0.44,0.48,0.83,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00097,s__eubacterium_ramulus,0.44,0.48,0.29,0.67,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00097,s__eubacterium_ramulus,0.44,0.48,0.29,0.64,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__nadh dehydrogenase quinone,m__hmdb00014,s__eubacterium_ventriosum,1,0.7,0.46,0.15,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__acetyl-coa c-acetyltransferase,m__hmdb04610,s__mitsuokella_unclassified,0.41,0.27,0.98,0.44,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__acetyl-coa c-acetyltransferase,m__hmdb00269,s__barnesiella_intestinihominis,0.41,0.78,0.1,0.21,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__acetyl-coa c-acetyltransferase,m__hmdb00269,s__barnesiella_intestinihominis,0.41,0.78,0.1,0.77,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__acetyl-coa c-acetyltransferase,m__hmdb00244,s__dorea_longicatena,0.41,0.88,0.91,0.39,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__acetyl-coa c-acetyltransferase,m__hmdb00244,s__dorea_longicatena,0.41,0.88,0.91,0.39,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_5_1_63faa,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00262,s__bacteroides_massiliensis,0.87,0.99,0.96,0.89,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_57faa_ct1,,g__phosphatidate cytidylyltransferase,m__hmdb00870,s__alistipes_finegoldii,0.54,0.47,0.92,0.11,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00812,s__collinsella_aerofaciens,0.25,0.22,0.36,0.87,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00630,s__ruminococcus_bromii,0.25,0.38,0.73,0.78,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__eubacterium_eligens,0.25,0.19,0.24,0.12,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00619,s__bilophila_unclassified,0.25,0.19,0.78,0.72,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00452,s__eubacterium_siraeum,0.25,0.39,0.25,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00452,s__alistipes_shahii,0.25,0.39,0.1,0.89,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00452,s__alistipes_shahii,0.25,0.39,0.1,0.59,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00118,s__clostridium_asparagiforme,0.25,0.53,0.98,0.74,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__subdoligranulum_unclassified,0.42,0.1,1,0.83,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__subdoligranulum_unclassified,0.42,0.1,1,0.86,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__parabacteroides_distasonis,0.42,0.1,0.25,0.35,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__dorea_formicigenerans,0.42,0.1,1,0.77,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__barnesiella_intestinihominis,0.42,0.1,0.89,0.9,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__barnesiella_intestinihominis,0.42,0.1,0.89,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__bacteroides_thetaiotaomicron,0.42,0.1,1,0.18,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb00365,s__bacteroides_cellulosilyticus,0.42,0.1,1,0.41,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__transaldolase,m__hmdb00699,s__bacteroides_cellulosilyticus,0.14,1,0.75,0.83,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb04193,s__clostridiales_bacterium_1_7_47faa,0.28,0.86,0.28,0.93,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb01991,s__lachnospiraceae_bacterium_3_1_57faa_ct1,0.28,0.1,0.95,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb01991,s__lachnospiraceae_bacterium_3_1_57faa_ct1,0.28,0.1,0.95,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb01232,s__clostridium_clostridioforme,0.28,0.38,0.13,0.19,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb01149,s__collinsella_aerofaciens,0.28,0.54,0.31,0.2,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00873,s__clostridium_leptum,0.28,0.86,0.68,0.19,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00873,s__bilophila_unclassified,0.28,0.86,0.69,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00873,s__bilophila_unclassified,0.28,0.86,0.69,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00244,s__clostridium_hathewayi,0.28,0.84,0.8,0.99,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00244,s__clostridium_hathewayi,0.28,0.84,0.8,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00244,s__anaerotruncus_colihominis,0.28,0.84,0.8,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00244,s__anaerotruncus_colihominis,0.28,0.84,0.8,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00194,s__bilophila_wadsworthia,0.28,1,0.21,0.97,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00194,s__bilophila_wadsworthia,0.28,1,0.21,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00139,s__ruminococcus_obeum,0.28,0.12,0.46,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00139,s__lachnospiraceae_bacterium_8_1_57faa,0.28,0.12,0.33,0.82,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00139,s__lachnospiraceae_bacterium_8_1_57faa,0.28,0.12,0.33,0.82,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00014,s__lachnospiraceae_bacterium_2_1_58faa,0.28,0.3,0.69,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00014,s__bacteroides_caccae,0.28,0.3,0.28,1,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__phosphopyruvate hydratase,m__hmdb00014,s__bacteroides_caccae,0.28,0.3,0.28,0.82,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__clostridiaceae_bacterium_jc118,0.99,0.83,0.46,0.99,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__clostridiaceae_bacterium_jc118,0.99,0.83,0.46,0.94,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00101,s__oscillibacter_unclassified,0.99,0.99,0.16,0.67,FALSE,TRUE,FALSE,FALSE
s__lachnospiraceae_bacterium_2_1_58faa,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00101,s__oscillibacter_unclassified,0.99,0.99,0.16,0.18,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb02322,s__pseudomonas_unclassified,1,0.15,0.56,1,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb02322,s__pseudomonas_unclassified,1,0.15,0.56,0.95,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb01232,s__parabacteroides_unclassified,1,0.67,0.64,0.58,FALSE,TRUE,FALSE,FALSE
s__holdemania_unclassified,,g__preq1 synthase,m__hmdb00482,s__lachnospiraceae_bacterium_2_1_58faa,0.6,0.58,0.21,0.2,FALSE,TRUE,FALSE,FALSE
s__holdemania_unclassified,,g__dna helicase,m__hmdb01547,s__holdemania_unclassified,0.13,0.65,0.52,1,FALSE,TRUE,FALSE,FALSE
s__holdemania_filiformis,,g__bacterial non-heme ferritin,m__hmdb02123,s__veillonella_dispar,0.25,0.45,0.11,0.11,FALSE,TRUE,FALSE,FALSE
s__holdemania_filiformis,,g__bacterial non-heme ferritin,m__hmdb02123,s__veillonella_dispar,0.25,0.45,0.11,0.11,FALSE,TRUE,FALSE,FALSE
s__holdemania_filiformis,,g__bacterial non-heme ferritin,m__hmdb00715,s__escherichia_unclassified,0.25,0.89,0.31,0.59,FALSE,TRUE,FALSE,FALSE
s__holdemania_filiformis,,g__bacterial non-heme ferritin,m__hmdb00089,s__holdemania_filiformis,0.25,0.28,0.16,1,FALSE,TRUE,FALSE,FALSE
s__flavonifractor_plautii,,g__cytochrome-c oxidase,m__hmdb00139,s__flavonifractor_plautii,0.19,0.21,0.23,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb04610,s__lachnospiraceae_bacterium_5_1_63faa,0.84,0.27,0.47,0.66,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb04610,s__lachnospiraceae_bacterium_5_1_63faa,0.84,0.27,0.47,0.94,FALSE,TRUE,FALSE,FALSE
